BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
EARLY,5,1.311547038,-0.649726646,EARLY,3,1.148980384,-0.715991192
EARLY,5,0.930859534,-0.835614118,EARLY,3,1.298047236,-0.573777517
EARLY,5,1.147897606,-1.048225419,EARLY,3,1.351865819,-0.506536761
EARLY,5,1.103467353,-0.714490693,EARLY,3,1.150988326,-0.601041872
EARLY,5,1.068144282,-0.640604432,EARLY,3,1.346231213,-0.422907751
EARLY,5,1.172322406,-0.499008982,EARLY,3,1.172378166,-0.562344017
EARLY,5,1.008245446,-0.576970942,EARLY,4,1.220091701,-0.331167739
EARLY,5,0.98665553,-1.048624455,EARLY,4,1.322887333,-0.37071844
EARLY,5,1.058814604,-0.444140697,EARLY,4,1.149922742,-0.537539937
EARLY,5,1.124220226,-0.704306261,EARLY,4,1.191426602,-0.639955795
EARLY,5,1.227033275,-0.832298322,EARLY,4,1.236033829,-0.376604001
EARLY,5,1.012789067,-1.106972416,EARLY,4,1.154542679,-0.379394392
EARLY,5,1.075720548,-0.678098527,EARLY,4,1.12579074,-0.820048667
EARLY,5,1.285503522,-0.649795206,EARLY,4,0.98993665,-0.572139819
EARLY,5,1.036645921,-0.673529301,EARLY,4,1.193483789,-0.369790294
EARLY,5,0.983236882,-1.025554483,EARLY,4,1.205951755,-0.414637634
EARLY,5,1.259731648,-0.570962438,EARLY,4,1.116823604,-0.645189448
EARLY,5,1.169315349,-0.83100865,EARLY,4,1.26739611,-0.529981231
EARLY,6,1.192099176,-0.817650796,EARLY,4,1.113612105,-0.530401166
EARLY,6,1.130047647,-0.879205566,EARLY,4,0.964799509,-0.51696085
EARLY,6,1.281642756,-0.824331651,EARLY,4,1.241761626,-0.189899971
EARLY,6,1.105969783,-1.235466227,EARLY,4,1.326074335,-0.339627756
EARLY,6,1.163700291,-0.775603753,LATE,1,1.263985497,0.20126213
EARLY,6,0.961861865,-0.750406763,LATE,1,1.201072289,-0.21549
EARLY,6,1.215185851,-0.718871474,LATE,1,1.146887598,-0.01301864
EARLY,6,1.094526528,-0.694928557,LATE,1,1.22762781,-0.01301864
EARLY,6,1.259833564,-0.654213082,LATE,1,1.256883841,0.096381222
EARLY,6,1.316342728,-0.534759603,LATE,1,1.331208989,0.112189477
EARLY,6,1.16520511,-1.138266612,LATE,1,1.251640931,0.293874538
EARLY,6,1.122784537,-1.167365626,LATE,1,1.263699904,0.177006516
EARLY,6,1.199458814,-0.600577242,LATE,1,1.20482947,-0.265487
EARLY,6,1.179669713,-0.751217955,LATE,1,1.294670421,-0.202665584
EARLY,6,1.251074059,-0.724500525,LATE,1,1.183813382,0.087114393
EARLY,6,1.152144139,-0.911488421,LATE,1,1.218380881,0.226408089
EARLY,6,1.2371188,-0.838458372,LATE,1,1.283189492,-0.095476538
EARLY,7,1.248894936,-0.783058436,LATE,1,1.32747694,-0.040689033
EARLY,7,1.103783635,-0.897639263,LATE,1,1.333497535,0.086548754
EARLY,7,1.204498837,-0.711785034,LATE,1,1.39886778,0.035503094
EARLY,7,1.067424521,-0.743302495,LATE,2,1.152259914,-0.214079522
EARLY,7,1.122321964,-0.530138081,LATE,2,1.292143748,0.035648974
EARLY,7,1.037884968,-0.673184341,LATE,2,1.219336001,-0.057354239
EARLY,7,1.256546093,-0.469878622,LATE,2,1.38879599,-0.135946851
EARLY,7,1.301915491,-0.568056444,LATE,2,1.309956753,-0.086501477
EARLY,7,1.352414644,-0.463545025,LATE,2,1.296383962,-0.144518367
EARLY,7,1.252437207,-0.600076449,LATE,2,1.300237838,0.16089879
EARLY,7,1.146875179,-0.858865498,LATE,2,1.208478367,-0.401029432
EARLY,7,1.388732846,-0.490332189,LATE,2,1.239878086,-0.251814497
EARLY,7,1.168931243,-0.565883303,LATE,2,1.258887058,-0.169762579
EARLY,7,1.081189939,-0.676196141,LATE,2,1.20949794,0.009272208
EARLY,7,1.016726129,-1.173158399,LATE,3,1.204669194,-0.202762808
EARLY,7,0.908708507,-1.611376697,LATE,3,1.199197176,-0.170812257
EARLY,7,1.05344486,-0.642899298,LATE,3,1.381198063,-0.15870521
EARLY,8,1.20225032,-0.778122196,LATE,3,1.155235694,-0.20243384
EARLY,8,1.220541554,-0.751634488,LATE,3,1.284436915,-0.117270088
EARLY,8,1.120889148,-0.994979343,LATE,3,1.239912229,-0.272755053
EARLY,8,1.262246714,-0.78673156,LATE,3,1.291357346,-0.207571923
EARLY,8,1.225628368,-0.727375484,LATE,3,1.321849005,-0.064819551
EARLY,8,1.191285267,-0.53001056,LATE,3,1.213374438,-0.220259671
